url_length,domain_length,path_length,path_segments,has_query,has_fragment,is_https,has_ssl_indicator,platform_amazon,platform_shopify,platform_cloudinary,platform_imgur,platform_wordpress,platform_squarespace,platform_wix,platform_cdn,format_jpg,format_jpeg,format_png,format_webp,format_gif,format_bmp,format_svg,format_quality_score,url_width,url_height,url_max_dimension,url_has_dimensions,size_tiny,size_small,size_medium,size_large,size_huge,quality_keywords,has_quality_indicator,filename_length,has_underscore,has_dash,has_numbers,is_hash_filename,complexity_score,uses_cdn,is_thumbnail,professional_photo,sample_id,price
51,18,25,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,1.0999999999999999,1,0,0,33127,4.890000000000001
51,18,25,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,1.0999999999999999,1,0,0,198967,13.12
51,18,25,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,15,0,1,1,0,1.0999999999999999,1,0,0,261251,1.97
51,18,25,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,1.0999999999999999,1,0,0,55858,30.339999999999996
51,18,25,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,1.0999999999999999,1,0,0,292686,66.49
51,18,25,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,1.0999999999999999,1,0,0,9259,18.5
51,18,25,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,1.0999999999999999,1,0,0,191846,5.99
51,18,25,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,1.0999999999999999,1,0,0,222007,94.0
51,18,25,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,1.0999999999999999,1,0,0,37614,35.74
51,18,25,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,1.0999999999999999,1,0,0,238044,31.8
